team,matches,wins,win_rate,avg_goals,avg_conceded
Gabon,405,141,0.34814814814814815,1.1777777777777778,1.1950617283950618
Guinea,539,200,0.37105751391465674,1.3543599257884973,1.2244897959183674
Algeria,620,288,0.4645161290322581,1.5370967741935484,0.9935483870967742
Kuwait,684,285,0.4166666666666667,1.5599415204678362,1.1257309941520468
Jordan,488,180,0.36885245901639346,1.2704918032786885,1.1147540983606556
Liberia,302,79,0.26158940397350994,0.8940397350993378,1.4735099337748345
Solomon Islands,214,90,0.4205607476635514,2.1588785046728973,1.9672897196261683
Laos,224,42,0.1875,1.0133928571428572,3.1294642857142856
Saint Vincent and the Grenadines,236,88,0.3728813559322034,1.576271186440678,1.8728813559322033
Bermuda,198,68,0.3434343434343434,1.6565656565656566,1.7626262626262625
Niger,260,61,0.23461538461538461,0.9846153846153847,1.626923076923077
Montenegro,170,58,0.3411764705882353,1.1823529411764706,1.3705882352941177
Palestine,249,74,0.2971887550200803,1.3333333333333333,1.3895582329317269
Bahrain,584,207,0.3544520547945205,1.2414383561643836,1.2945205479452055
Papua New Guinea,155,52,0.33548387096774196,2.167741935483871,2.0129032258064514
Mauritania,273,52,0.19047619047619047,0.7252747252747253,1.5897435897435896
Saudi Arabia,744,351,0.4717741935483871,1.5309139784946237,1.0456989247311828
Eswatini,274,55,0.20072992700729927,0.843065693430657,1.6605839416058394
Western Australia,32,11,0.34375,1.96875,2.34375
Somalia,124,11,0.08870967741935484,0.5,2.661290322580645
Lesotho,296,54,0.18243243243243243,0.777027027027027,1.5743243243243243
Cook Islands,53,11,0.20754716981132076,0.8113207547169812,4.981132075471698
Qatar,638,260,0.40752351097178685,1.4043887147335423,1.213166144200627
Antigua and Barbuda,231,71,0.30735930735930733,1.3246753246753247,1.8311688311688312
Faroe Islands,287,57,0.1986062717770035,0.8362369337979094,2.2439024390243905
Bangladesh,305,80,0.26229508196721313,0.9049180327868852,1.8229508196721311
Yemen,266,53,0.19924812030075187,0.9736842105263158,2.169172932330827
Oman,543,206,0.37937384898710863,1.29097605893186,1.2578268876611418
Yemen DPR,25,5,0.2,1.0,2.76
Burundi,218,65,0.2981651376146789,1.0871559633027523,1.353211009174312
Mozambique,375,118,0.31466666666666665,1.032,1.2933333333333332
